City_ID,City,Country,Max Temp,Current Description,Lat,Lng,Hotel Name
336,Ojinaga,MX,89.56,clear sky,29.5667,-104.4167,Suites Las Palmas
339,Popondetta,PG,72.75,overcast clouds,-8.7537,148.2534,Timos Transit House
342,Brufut,GM,84.29,scattered clouds,13.3814,-16.7518,Sheraton Gambia Hotel Resort & Spa
344,Soyo,AO,80.17,overcast clouds,-6.1349,12.3689,Hotel Mpampa
348,Phuket,TH,89.1,few clouds,8.0,98.25,The Surin
349,Portobelo,PA,84.96,overcast clouds,9.55,-79.65,Scuba Portobelo
352,Kilindoni,TZ,81.88,few clouds,-7.9139,39.6668,Bustani B&B
355,Gurupi,BR,88.52,few clouds,-11.7292,-49.0686,Via Norte Hotel
357,Kahului,US,74.84,few clouds,20.8947,-156.47,Maui Seaside Hotel
359,Paka,MY,78.73,broken clouds,4.6374,103.4368,RUMBIA RESORT VILLA Paka Terengganu
362,Kailua,US,75.18,few clouds,21.4022,-157.7394,Sheffield House Bed & Breakfast
365,Kalmunai,LK,82.78,few clouds,7.4167,81.8167,VS Villa
366,Lucea,JM,84.85,clear sky,18.451,-78.1736,Grand Palladium Jamaica Resort & Spa
367,Baghdad,IQ,82.31,clear sky,33.3406,44.4009,Baghdad Hotel
369,Zongolica,MX,87.55,scattered clouds,18.6667,-96.9833,"Hotel Posada ""Sol y Luna"""
371,Cienfuegos,CU,84.34,scattered clouds,22.1461,-80.4356,Casa Claumar B2BPay
373,Galesong,ID,77.02,broken clouds,-5.3166,119.3661,Sapriadi Appy
374,Eten,PE,79.05,clear sky,-6.9081,-79.8642,Hospedaje Sol Radiante
375,Paita,PE,74.73,overcast clouds,-5.0892,-81.1144,Hotel Náutico de Paita
378,Miri,MY,75.34,few clouds,4.4148,114.0089,"Mega Hotel, Miri"
379,Mastung,PK,76.32,clear sky,29.7994,66.845,Al Hasnan Cold Drink Santer
380,Sabang,ID,84.56,overcast clouds,5.8933,95.3214,Hotel Citra
381,Labuhan,ID,77.47,overcast clouds,-6.8844,112.2051,DoubleFAG
383,Mutata,CO,84.56,overcast clouds,7.2441,-76.4356,RESIDENCIA ZULIMA
390,Puerto Baquerizo Moreno,EC,81.59,few clouds,-0.9,-89.6,Hotel los Algarrobos
394,Faanui,PF,80.69,light rain,-16.4833,-151.75,Bora-Bora Pearl Beach Resort & Spa
396,Meulaboh,ID,79.99,overcast clouds,4.1363,96.1285,Kost Pria
397,Cartagena,CO,89.22,broken clouds,10.3997,-75.5144,Hotel Colombia Real - Cartagena
399,Road Town,VG,78.89,light rain,18.4167,-64.6167,"ZINGARA 76ft Catamaran, full crew-all included"
402,Bitung,ID,77.85,overcast clouds,1.4451,125.1824,K2 Lembeh
